# SIMULATED ACADEMIC DATA - FOR PLATFORM SIMULATION AND TESTING ONLY
donor_type,food_category,meal_type,day_of_week,event_type,prepared_quantity,expected_people,actual_people,previous_surplus,preparation_time,surplus_quantity
caterer,meat_poultry,dinner,4,none,189.42,430,473,18.49,1.39,0.0
caterer,other,lunch,3,none,135.61,222,232,2.84,3.05,0.0
hotel,fresh_produce,snack,0,none,250.87,535,484,16.56,1.85,30.94
other,dairy,breakfast,3,none,307.04,538,462,38.79,4.15,40.51
supermarket,other,snack,5,corporate,144.09,229,139,16.15,4.78,51.9
supermarket,bakery,snack,3,none,73.55,102,101,9.0,5.95,4.25
hotel,dairy,breakfast,2,none,156.22,349,289,1.49,3.18,38.79
other,dairy,snack,5,holiday,199.44,445,232,23.06,4.46,105.37
restaurant,cooked_meals,lunch,3,none,31.94,48,39,1.25,3.87,0.0
hotel,meat_poultry,snack,4,none,130.11,280,199,3.64,7.25,51.51
hotel,cooked_meals,snack,0,none,61.82,125,83,0.06,4.58,29.7
restaurant,other,all_day,0,none,148.29,190,153,8.09,7.8,20.62
caterer,fresh_produce,lunch,2,none,128.24,309,275,5.36,7.36,31.99
hotel,other,lunch,4,none,394.55,794,587,43.1,3.57,129.35
caterer,cooked_meals,dinner,6,none,337.41,638,443,25.92,2.59,166.8
caterer,bakery,breakfast,6,weekend_rush,72.26,134,120,7.15,6.72,13.99
restaurant,fresh_produce,snack,0,none,55.38,72,61,2.9,6.08,13.83
hotel,fresh_produce,breakfast,3,none,81.42,107,93,1.96,4.84,10.59
hotel,meat_poultry,breakfast,3,corporate,110.15,207,121,10.87,4.98,67.29
caterer,dairy,dinner,5,none,112.72,142,104,13.44,4.52,39.06
caterer,bakery,all_day,3,corporate,126.69,309,244,18.13,7.4,41.63
hotel,fresh_produce,breakfast,4,weekend_rush,182.71,232,221,23.33,3.22,5.03
supermarket,bakery,lunch,6,holiday,373.41,872,525,14.24,3.07,149.1
supermarket,bakery,breakfast,0,corporate,156.61,302,184,21.45,4.58,66.97
restaurant,fresh_produce,all_day,3,wedding,286.75,399,382,4.04,5.05,18.11
hotel,bakery,lunch,6,weekend_rush,338.79,455,368,16.6,6.8,80.83
caterer,fresh_produce,snack,4,none,339.97,711,489,6.77,7.79,142.6
supermarket,other,dinner,0,none,184.74,264,259,11.87,5.82,0.85
restaurant,cooked_meals,lunch,0,none,111.12,253,203,7.26,6.11,40.41
hotel,fresh_produce,lunch,2,corporate,25.47,57,39,0.49,4.44,14.51
caterer,bakery,all_day,6,none,380.68,504,427,39.06,5.31,89.34
supermarket,bakery,snack,2,holiday,277.32,440,246,26.04,6.74,126.5
supermarket,dairy,snack,4,none,58.3,143,123,2.79,6.91,4.73
supermarket,other,lunch,2,none,64.9,95,69,7.82,2.97,17.91
supermarket,meat_poultry,breakfast,2,weekend_rush,176.79,322,300,24.68,7.01,19.0
restaurant,meat_poultry,breakfast,2,none,362.97,602,526,21.19,1.08,58.73
restaurant,dairy,snack,0,none,381.02,488,306,16.76,3.3,162.83
hotel,meat_poultry,snack,4,corporate,320.05,733,588,21.2,7.21,84.59
hotel,dairy,lunch,6,none,309.37,477,415,32.77,1.57,53.33
other,other,dinner,4,none,328.86,422,384,27.55,3.97,29.92
supermarket,dairy,dinner,4,none,198.09,468,323,28.59,3.62,63.28
restaurant,bakery,breakfast,5,none,324.8,410,451,45.05,7.43,0.0
caterer,dairy,dinner,3,none,83.16,170,159,11.42,7.71,15.26
caterer,fresh_produce,all_day,1,none,196.21,362,324,29.02,5.89,30.52
restaurant,bakery,breakfast,4,holiday,280.2,602,435,36.4,1.32,104.84
restaurant,other,breakfast,1,weekend_rush,77.16,121,98,9.75,6.87,15.46
supermarket,bakery,dinner,6,none,41.42,55,46,5.87,6.95,7.54
restaurant,meat_poultry,breakfast,5,none,124.4,257,220,5.01,1.16,23.41
supermarket,cooked_meals,dinner,2,none,330.23,419,388,38.87,5.48,42.13
hotel,dairy,snack,1,none,244.17,438,333,18.83,6.49,74.01
caterer,other,lunch,2,wedding,322.66,552,469,2.22,5.35,63.69
supermarket,meat_poultry,dinner,2,none,48.83,108,91,2.53,7.28,3.04
hotel,dairy,all_day,1,wedding,105.06,144,151,8.65,4.74,0.0
caterer,cooked_meals,lunch,0,none,282.35,679,564,37.0,7.45,82.59
other,bakery,lunch,3,holiday,304.34,642,462,28.22,3.58,93.4
supermarket,meat_poultry,lunch,5,none,70.58,104,88,9.18,3.48,14.46
hotel,bakery,all_day,3,none,142.39,293,265,12.68,5.75,17.66
hotel,bakery,all_day,1,none,224.1,353,332,9.54,3.54,26.78
supermarket,cooked_meals,dinner,2,weekend_rush,250.19,505,469,7.0,3.0,17.98
restaurant,dairy,dinner,6,none,393.3,884,678,48.2,2.81,103.03
hotel,other,breakfast,1,none,237.21,463,439,15.14,4.55,18.37
restaurant,fresh_produce,breakfast,1,corporate,53.17,88,65,2.94,4.18,18.58
other,cooked_meals,snack,1,none,327.75,653,463,23.18,3.88,124.22
restaurant,meat_poultry,snack,3,none,374.52,470,409,40.54,1.34,51.96
other,dairy,breakfast,4,none,82.19,176,138,4.42,7.14,24.03
restaurant,cooked_meals,dinner,4,none,304.09,505,416,24.79,7.35,70.48
hotel,dairy,dinner,6,corporate,283.61,607,420,24.38,7.98,116.58
restaurant,bakery,all_day,4,corporate,74.39,154,107,1.15,4.76,36.68
caterer,meat_poultry,snack,6,corporate,76.97,156,92,8.01,4.8,48.69
hotel,dairy,all_day,3,none,365.21,576,526,8.4,5.1,28.74
supermarket,bakery,breakfast,6,corporate,245.33,556,480,2.85,1.73,41.36
restaurant,other,dinner,6,none,109.64,235,192,5.12,2.59,19.38
other,bakery,all_day,0,none,319.36,497,417,44.21,4.26,56.59
hotel,cooked_meals,dinner,0,none,32.48,42,35,0.17,3.18,0.48
other,dairy,lunch,3,none,215.77,273,148,17.32,2.29,96.45
restaurant,meat_poultry,dinner,2,corporate,152.77,260,221,13.46,3.06,34.47
hotel,cooked_meals,lunch,5,none,172.29,276,236,24.45,3.61,36.82
supermarket,dairy,lunch,3,holiday,391.99,532,357,14.93,2.37,127.72
other,other,breakfast,6,none,357.23,573,400,32.32,6.65,112.59
caterer,fresh_produce,all_day,5,none,131.4,173,142,17.59,6.72,27.0
caterer,dairy,lunch,6,none,244.31,481,481,15.98,3.06,9.57
caterer,cooked_meals,snack,0,holiday,205.22,270,213,8.27,4.79,74.84
other,bakery,breakfast,5,wedding,180.25,397,357,22.24,4.71,25.11
supermarket,fresh_produce,breakfast,5,none,173.99,290,277,6.88,2.87,9.64
hotel,cooked_meals,snack,4,wedding,86.64,113,124,0.61,2.16,0.0
hotel,bakery,dinner,4,wedding,113.23,203,212,5.05,4.96,0.0
supermarket,other,all_day,0,none,225.14,484,376,5.22,5.36,46.64
supermarket,meat_poultry,breakfast,0,none,176.86,259,260,2.06,1.02,10.94
hotel,other,lunch,3,none,54.8,71,71,7.18,6.13,0.0
other,bakery,all_day,5,wedding,392.62,515,382,39.45,1.31,123.72
restaurant,cooked_meals,all_day,5,weekend_rush,32.9,48,39,4.86,7.61,7.27
supermarket,other,snack,6,none,218.53,332,331,15.77,7.19,8.45
hotel,cooked_meals,snack,6,none,225.01,314,216,20.79,2.63,98.95
hotel,cooked_meals,lunch,5,none,90.48,163,92,5.41,1.64,56.14
caterer,meat_poultry,breakfast,5,none,197.58,380,299,8.22,7.37,62.04
restaurant,bakery,breakfast,3,none,380.99,533,444,53.99,4.27,75.39
other,cooked_meals,breakfast,6,weekend_rush,108.04,139,99,8.31,2.61,47.38
supermarket,bakery,lunch,0,none,316.24,585,387,7.3,6.71,108.29
other,meat_poultry,breakfast,0,holiday,346.85,594,496,2.31,6.97,59.48
supermarket,bakery,breakfast,4,corporate,126.93,253,165,2.08,7.26,42.64
other,bakery,lunch,4,none,245.11,335,230,9.82,7.15,83.18
hotel,fresh_produce,breakfast,2,holiday,289.18,393,196,32.65,2.11,198.82
hotel,meat_poultry,lunch,0,none,333.81,739,547,40.96,6.82,112.44
other,fresh_produce,lunch,4,wedding,392.85,601,503,45.95,1.75,66.01
supermarket,bakery,lunch,6,none,88.21,125,112,12.53,2.16,12.58
caterer,other,breakfast,1,none,42.01,97,88,3.75,3.69,14.61
other,dairy,breakfast,5,none,331.14,660,534,42.43,4.69,68.26
other,meat_poultry,dinner,3,holiday,313.67,637,336,45.38,6.32,166.53
